Week,Open.Price,High.Price,Low.Price,Close.Price,Average.No.of.Shares,No..of.Trades,Total.Turnover..Rs..,Spread.High.Low,Spread.Close.Open,WAP
1,225.33,229.32,223.45,225.92,209884,1743.4,47584524.6,5.87,0.59,226.72
2,230.4,236.51,227.73,232.13,268545,2403.4,62496778.2,8.78,1.73,232.72
3,246.7,251.78,244.36,250.36,318435,2536.2,79063591.4,7.42,3.66,248.29
4,248.56,253.09,244.59,248.13,199223,1825.6,49814803.6,8.5,-0.43,250.05
5,249.7,257.24,248.36,254.26,233014,1880.4,60067496.2,8.88,4.56,257.78
6,261.34,268.55,255.73,260.49,241118,2224,64192892.8,12.82,-0.85,266.23
7,261.83,265.54,256.05,258.85,160442,1631.2,41667528.4,9.49,-2.98,259.7
8,252.05,254.15,245.78,250.36,168776,1599.4,42082208.6,8.37,-1.69,249.34
9,259.4,267.75,256.22,259.89,259212,2374.4,68468526.6,11.53,0.49,264.14
10,254.17,256.87,244.03,248.67,133668,1197,32895081.8,12.84,-5.5,246.1
11,236.54,243.1,228.43,237.11,102903,1152.4,24286750.6,14.67,0.57,236.02
12,230.97,234.45,226.57,230.78,76046,769.4,17611127.6,7.88,-0.19,231.59
13,224.66,229.93,224.01,227.72,108466,1081.6,24512098.8,5.92,3.06,225.99
14,229.16,231.8,223.62,227,50426,900,11403704.6,8.18,-2.16,226.15
15,239.77,242.74,233.67,239.07,95084,1394.8,22414298.2,9.07,-0.7,235.73
16,238.89,241.37,235.82,239.21,26341,517.2,6322723.2,5.55,0.32,240.03
17,232.63,236.74,227.72,233.1,40356,642,9366731.2,9.02,0.47,232.1
18,236.44,239.53,233.11,236.19,56842,798.6,13442055.6,6.42,-0.25,236.48
19,236.52,242.49,232.11,236.59,61121,882.4,14529003.4,10.38,0.07,237.71
20,238.57,241,233.89,235.41,104023,1348.8,24614093.6,7.11,-3.16,236.62
21,232.43,234.07,229.68,231.99,109492,894.4,25366577.6,4.39,-0.44,231.68
22,231.5,233.44,229.51,232.13,49916,617.8,11526027.4,3.93,0.63,230.91
23,226.14,227.79,220.15,223.59,66837,858,14798135.6,7.64,-2.55,221.41
24,210.91,217.38,206.51,211.23,157732,1798.8,32985755.8,10.87,0.32,209.13
25,213.96,217.22,210.36,213.57,62830,566.6,13346807.2,6.86,-0.39,212.43
26,207.17,209.53,204.22,206.57,41009,446.4,8410337.6,5.31,-0.6,205.09
27,210.2,213.3,208.63,211.21,14607,286.8,3114218.2,4.67,1.01,213.2
28,222.35,226.06,221.5,223.47,115292,449.4,25557997.6,4.56,1.12,221.68
29,224.96,229.98,224.36,228.97,36924,481,8450601,5.62,4.01,228.86
30,234.72,235.73,231.29,233.54,34596,522.6,8092133.8,4.44,-1.18,233.9
31,231.31,233.79,229.82,231.7,38334,335.6,8897887.2,3.97,0.39,232.11
32,230.62,235.62,230.2,234.08,54935,616.8,12921892,5.42,3.46,235.22
33,235.5,236.58,234.52,235.29,27473,191.4,6457993.2,2.06,-0.21,235.07
34,235.41,236.49,232,234.31,32175,286.4,7554653.6,4.49,-1.1,234.8
35,234.13,236.05,232.21,233.59,26518,250.2,6229070,3.84,-0.54,234.9
36,209.6,216.3,200.62,208.55,71446,989.6,14572972.2,15.68,-1.05,203.97
37,209.37,215.38,203.86,211.34,56555,998.4,11768956.4,11.52,1.97,208.1
38,212.61,216.72,209.24,213.9,64444,832,13714110.4,7.48,1.29,212.81
39,212.47,214.77,210.51,213.81,83612,455.4,17748144.8,4.26,1.34,212.27
40,226.09,229.88,223.51,227.77,532363,758.6,122960756.8,6.37,1.68,230.97
41,228.7,230.8,222.35,224.96,62412,865.2,14210879.8,8.45,-3.74,227.69
42,220.01,220.94,217.94,219.11,178841,551.2,39454472.6,3,-0.9,220.61
43,221.67,221.68,217.66,219.42,91958,604.8,20194341,4.02,-2.25,219.6
44,219.85,221.88,218.75,220.34,87062,367.2,19119026.8,3.13,0.49,219.6
45,223.53,226,222.25,224.05,126272,718.2,28240727.6,3.75,0.52,223.65
46,226.39,228.49,221.1,225.07,464147,1106.4,105001882,7.39,-1.32,226.23
47,226.83,230.06,224.21,228.11,99606,634,22665600.4,5.85,1.28,227.55
48,226.97,227.54,221.8,225.09,89407,399.6,20046978,5.74,-1.88,224.22
49,220.59,222.98,217.87,221.46,45525,362.4,10018341.8,5.11,0.87,220.06
50,221.16,224.45,220.56,223.41,26187,336.8,5840164.2,3.89,2.25,223.02
51,223.9,226.07,222.21,224.32,41009,288.2,9185591.6,3.86,0.42,223.99
52,232.08,238.92,226.41,231.11,103729,1348.4,24422551.6,12.51,-0.97,235.45
53,235.59,240.44,234.44,238.6,35267,556.8,8420095.8,6,3.01,238.75
54,232.6,233.5,227.82,228.96,24857,306.2,5653075.4,5.68,-3.64,227.42
55,226.72,228.02,222.84,224.24,66211,429,14846790.4,5.18,-2.48,224.23
56,228.5,230.94,226.03,227.74,34338,393.2,7769545.6,4.91,-0.76,226.27
57,236.32,242.21,231.86,235.85,60723,1009.8,14640336.6,10.35,-0.47,241.1
58,239.45,246.1,235.3,240.08,50086,952.4,12068489.8,10.8,0.63,240.96
59,240,241.58,234.25,236.39,75894,824.2,17954532.4,7.33,-3.61,236.57
60,234.83,236.51,231.68,234.35,79250,564.8,18555372,4.83,-0.48,234.14
61,235.88,237.57,234.18,235.57,42351,473.4,9969619.8,3.39,-0.31,235.4
62,233.52,235.96,231.94,234.48,35845,332.2,8381877,4.02,0.96,233.84
63,232.62,232.95,227.21,228.9,44323,492.8,10083979.4,5.74,-3.72,227.51
64,226.87,227.43,223.45,225.54,66955,317,15024720.6,3.98,-1.33,224.4
65,228.15,229.09,222.43,225.5,90823,656.4,20406905.4,6.66,-2.65,224.69
66,224.81,226.2,222.04,223.32,47358,361,10517719.6,4.16,-1.49,222.09
67,219.12,220.83,216.71,218.44,93217,555.4,20336718.2,4.12,-0.68,218.17
68,221.26,222.96,218.86,221.56,48767,343,10771849,4.1,0.3,220.88
69,219.21,220.62,216.83,218.84,78928,316.8,17372673.4,3.79,-0.37,220.11
70,216.02,221.07,213.78,218.53,33016,322.2,7166442.4,7.29,2.51,217.06
71,223.12,227.28,221.13,224.77,86116,597.2,19260338.6,6.15,1.65,223.66
72,222.05,224.75,219.55,221.8,73584,542.4,16247738,5.2,-0.25,220.81
73,219.49,221.06,218.53,219.96,44650,375.2,9793758.6,2.53,0.47,219.35
74,219.7,220.19,216.47,217.84,36969,400.8,8020445,3.72,-1.86,216.95
75,211.64,213.69,206.68,209.51,53807,759,11102159.6,7.01,-2.13,206.33
76,212.37,214.33,209.67,212.42,32586,461,6890439,4.66,0.0499999999999999,211.45
77,211.31,212.48,208.74,210.14,52185,277.4,10949973.8,3.74,-1.17,209.83
78,210.85,213.15,208.81,211.85,38944,464.2,8244108.4,4.34,1,211.69
79,214,215.16,210.92,212.42,2132964,488.2,464178140.6,4.24,-1.58,217.62
80,210.21,212.35,208.59,210.6,356775,321.4,75235662.4,3.76,0.39,210.88
81,209.42,212.17,206.95,209.78,44704,288,9372850,5.22,0.36,209.66
82,209.76,211.46,208.77,210.71,22476,272,4727347.8,2.69,0.95,210.33
83,209.33,210.32,208.02,209.75,37700,288,7893516.4,2.3,0.42,209.38
84,209.31,210.81,208.84,209.95,8526,148.2,1789289,1.97,0.64,209.86
85,211.52,213.28,209.18,211.78,11821,210,2497992,4.1,0.26,211.32
86,213.91,218.94,213.87,217.6,21348,385,4662213.8,5.07,3.69,218.39
87,218.64,219.66,216.39,217.44,32765,304.2,7127133.8,3.27,-1.2,217.52
88,214.39,217.58,209.73,214.09,83668,857.8,17761645.8,7.85,-0.3,212.29
89,209.14,210.01,207.35,208.7,67736,531.4,14098365.4,2.66,-0.44,208.14
90,206.38,207.42,201.94,202.75,172186,809.6,34996047,5.48,-3.63,203.25
91,196.13,197.17,193.67,195.19,129284,680.4,25423834.6,3.5,-0.94,196.65
92,192.72,194.32,190.46,191.67,97349,804.8,18658053,3.86,-1.05,191.66
93,195.07,196.75,192.25,194.84,16569,226.2,3225885.6,4.5,-0.23,194.69
94,194.13,195.5,191.83,194.12,50095,360.2,9678798.6,3.67,-0.01,193.21
95,194.6,196.15,193.56,195.03,94270,581,18435834.8,2.59,0.43,195.56
96,195.28,196.12,194.55,195.3,101743,407,19857161,1.57,0.02,195.17
97,197.33,198.05,193.93,195.69,89443,525.4,17560225.8,4.12,-1.64,196.33
98,199.28,205.13,197.32,202.24,175360,1952.4,35180575.6,7.81,2.96,200.62
99,215.66,220.9,213.29,218.85,57397,995.2,12503939,7.61,3.19,217.85
100,218.18,219.66,214.71,217.06,38130,553,8249396.8,4.95,-1.12,216.35
101,215.87,217.76,213.95,216.32,30667,329.2,6635125.6,3.81,0.45,216.36
102,215.76,218.2,214.44,216,43332,619.8,9338677.2,3.76,0.24,215.51
103,222.7,227.81,221.41,226.9,67749,1097.6,15604992.8,6.4,4.2,230.34
104,236.08,238.42,230.34,234.58,68147,1037,15988987.4,8.08,-1.5,234.62
105,233.71,240.46,232.02,236.3,74737,936.2,17794169.8,8.44,2.59,238.09
106,244.1,247.58,242.67,245.86,58682,764.6,14473568.2,4.91,1.76,246.64
107,249.85,252.14,247.1,248.27,87127,848,21770315,5.04,-1.58,249.87
108,247.65,249.31,245.45,247.75,13046,291.6,3235675.6,3.86,0.1,248.02
109,244.91,247.2,241.24,243.3,2092364,752.8,518876902.4,5.96,-1.61,247.99
110,238.25,240.35,237.32,238.83,273632,515.6,65500101,3.03,0.58,239.37
111,239.56,242.3,237.82,240.8,111169,458.4,26651038.4,4.48,1.24,239.73
112,232.66,237.01,229.36,233.4,44049,304.4,10357279.6,7.65,0.74,235.13
113,233.98,237.58,232.55,235.05,207579,455.6,48589340.6,5.03,1.07,234.08
114,238.39,245.38,234.89,238.37,60163,553.4,14452870,10.49,-0.02,240.23
115,244.54,246.19,241.81,244.09,88870,513.6,21385477.8,4.38,-0.45,240.64
116,242.06,244.57,239.5,241.94,20131,332,4917464,5.07,-0.12,244.27
117,247.15,251.71,245.09,248.74,194219,1119.2,48339474.2,6.62,1.59,248.89
118,244.94,246.32,242.25,244.21,17362,236.8,4234577.6,4.07,-0.73,243.9
119,247.37,250.86,244.44,248.55,35745,488.4,8846633.2,6.42,1.18,247.49
120,248.62,250.88,242.54,244.62,352570,431.4,87493258.2,8.34,-4,248.16
121,245.52,249.58,244.07,247.22,54706,780,13564841.8,5.51,1.7,247.96
122,255.28,261.05,252.87,255.89,69380,966.4,17859291,8.18,0.61,257.41
123,253.96,255.92,250.35,252.06,76436,500.6,19381320.4,5.57,-1.9,253.56
124,247.77,248.63,243.17,244.48,176480,543.4,43102590,5.46,-3.29,244.23
125,253.76,258.25,250.35,255.7,106787,1165,27023187.6,7.9,1.94,253.06
126,282.06,294.12,274.63,281.88,539556,2534.6,152497964.8,19.49,-0.18,282.64
127,284.3,290.63,277.54,283.23,84761,1150.8,24195190.8,13.09,-1.07,285.45
128,276.62,278.26,266.7,270.32,373823,908.6,100763006.8,11.56,-6.3,269.55
129,263.68,268.13,260.7,265.26,88346,858.8,23342809.6,7.43,1.58,264.22
130,270.58,274.96,266.49,271.1,181248,920.2,49000672,8.47,0.52,270.35
131,273.99,278.23,269.32,273.19,70833,577.4,19246649,8.91,-0.8,271.72
132,276.31,283.4,274.09,279.39,53045,747.8,14804503,9.31,3.08,279.09
133,286.25,288.14,276.95,282.18,59827,728.4,16900982,11.19,-4.07,282.5
134,279,284.09,275.88,279.27,144923,880.6,40551630.8,8.21,0.27,279.82
135,276.9,282.25,274.84,278.57,63442,658.2,17761919,7.41,1.67,279.97
136,277.38,278.44,270.49,273.41,101390,894.8,27948653,7.95,-3.97,275.65
137,267.74,272.35,264.89,268.58,38583,623.2,10362718.6,7.46,0.84,268.58
138,275.89,282.08,273.11,278.71,159930,1854.2,44506722.6,8.97,2.82,278.29
139,311.4,319.78,304.26,310.18,188051,3001.6,58524895,15.52,-1.22,311.22
140,312.33,316.84,308.69,311.73,466114,2518.4,145287004.4,8.15,-0.6,311.7
141,308.96,312.73,302.48,306.82,72887,1108.6,22672294.2,10.25,-2.14,311.06
142,308.96,315.8,306.38,310.3,88630,1095.6,27753268.2,9.42,1.34,313.14
143,314.94,317.67,309.25,312.16,97222,1370.8,30514239,8.42,-2.78,313.86
144,308.54,309.37,301.19,304.47,96321,1164.8,29415496,8.18,-4.07,305.39
145,301.05,303.91,297,300.84,73395,811,21919714.4,6.91,-0.21,298.65
146,300.35,305.6,297.7,301.26,78464,898.6,23773898,7.9,0.91,302.99
147,314.58,321.67,312,318.69,524615,2600,170603580.6,9.67,4.11,325.2
148,331.45,340.58,326.66,335.84,141106,1862.4,47813100,13.92,4.39,338.85
149,357.78,362.5,351.13,356.34,117763,1468.8,41876533,11.37,-1.44,355.6
150,357.55,361.49,352.35,356.9,62325,838.2,22273415.6,9.14,-0.65,357.38
151,369.25,376.56,362.02,367.06,77664,1190.6,28597213.8,14.54,-2.19,368.22
152,366.68,370.93,359.14,363.2,207309,2245,75779617.4,11.79,-3.48,365.54
153,372.43,382.26,366.63,372.47,364466,3390.2,138300498.8,15.63,0.04,379.46
154,371.82,375.31,363.57,368.23,307709,1758.2,114728134.6,11.74,-3.59,372.85
155,357.25,361.34,347.84,352.84,149421,1514,52637618.2,13.5,-4.41,352.28
156,354.95,363.78,348.95,359.66,161557,1789.6,57711215.2,14.83,4.71,357.22
157,376.8,378.38,372.3,376.57,127578,1296.4,47834722.2,6.08,-0.23,374.94
158,370.98,376.26,364.89,371.51,82949,1139.8,30760946.4,11.37,0.53,370.84
159,370.19,380.51,366.74,375.67,126072,1386.8,47542665.6,13.77,5.48,377.11
160,383.67,387.18,375.45,379.32,58096,1025,22211092,11.73,-4.35,382.32
161,366.87,371.72,358.19,365.91,100320,1549.4,36354490,13.53,-0.96,362.39
162,350.27,356.76,343.36,349.48,37670,889.4,13070717.8,13.4,-0.79,346.98
163,367.25,376.19,363.45,372.61,83577,1006,30891828,12.74,5.36,369.62
164,385.61,391.71,378.63,384.08,84668,1364.4,32817211.2,13.08,-1.53,387.6
165,381.85,385.7,375.38,379.6,139463,916.8,53083635.4,10.32,-2.25,380.63
166,377.2,380.24,372.9,375.35,101682,890.4,38177882.4,7.34,-1.85,375.46
167,378.35,384.85,372.6,379.5,40665,790.6,15439154.8,12.25,1.15,379.67
168,385.96,388.87,375.46,378.96,127610,835.2,48447521.6,13.41,-7,379.65
169,368.98,378.52,358.21,371.41,145854,1148.4,53961259,20.31,2.43,369.97
170,337.6,362.54,312.43,342.88,99420,1623.4,33562054.8,50.11,5.28,337.58
171,373.97,376.4,362.87,370.45,52353,968.4,19346250.8,13.53,-3.52,369.53
172,361.05,366.13,348.29,353.39,50303,1178,17794435.6,17.84,-7.66,353.75
173,367.52,378.11,360.44,366.39,163559,2027.2,61634535.4,17.67,-1.13,376.83
174,369,372.2,363.39,369.12,162545,1874,59422356.8,8.81,0.12,365.57
175,375.31,381.3,365.24,373.41,163763,2065.4,60155774.6,16.06,-1.9,367.33
176,370.18,371.75,364.3,368.99,153180,1454,56081552.2,7.45,-1.19,366.12
177,362.53,368.97,356.24,366.42,103905,1253.2,37627882,12.73,3.89,362.14
178,368.27,370.68,362.45,365.71,202504,690,74019891.4,8.23,-2.56,365.52
179,369.86,372.85,366.04,368.96,76854,1291,28386306.6,6.81,-0.9,369.35
180,372.93,377.43,368.73,373.44,121374,1582.6,45336495.2,8.7,0.51,373.53
181,368.7,371.89,364.43,367.72,71737,978.6,26347244.2,7.46,-0.98,367.28
182,370.69,373.77,366.79,370.37,325208,696.6,119201129.6,6.98,-0.32,366.54
183,363.38,364.71,359.96,360.89,63808,351.4,23156806.2,4.75,-2.49,362.91
184,370.37,376.06,365.55,372.58,35548,841,13261750.2,10.51,2.21,373.07
185,370.66,372.67,366.59,369.52,17772,428,6561839.6,6.08,-1.14,369.22
186,383.29,392.28,376.7,384.86,261381,2931,101085976,15.58,1.57,386.74
187,393.61,399.39,388.38,394.33,151097,2277.4,59909327,11.01,0.72,396.5
188,408.03,413.03,399.99,407.44,238544,2684.2,97093816,13.04,-0.59,407.03
189,405.05,409.44,400.14,404.05,159956,1996.8,64886393,9.3,-1,405.65
190,413.63,416.93,406.55,411.72,115554,1460.6,47649155.8,10.38,-1.91,412.35
191,405.55,408.94,401.31,404.98,61609,671.8,25028179,7.63,-0.57,406.24
192,410.53,413.9,406,409.61,76238,1133.8,31291751.2,7.9,-0.92,410.45
193,415.67,419.7,412,415.42,174450,1724.6,72715243.4,7.7,-0.25,416.83
194,427.17,434.05,423.9,431.21,231094,1509.2,98391922.8,10.15,4.04,425.77
195,465.41,475.01,462.05,470.26,107666,1893.6,50351595.2,12.96,4.85,467.66
196,483,487.76,477.78,482.81,151911,1838.2,73238408.4,9.98,-0.19,482.11
197,492.05,498.74,486.78,491.86,80886,1286.4,39891504.6,11.96,-0.19,493.18
198,484.89,489.38,476.11,480.15,156717,1477.6,75853461,13.27,-4.74,484.02
199,476.54,479.03,470.06,473.02,163085,1419.8,77265404.8,8.97,-3.52,473.77
200,490.15,495.15,482.49,488.77,109055,1697.6,53500459.6,12.66,-1.38,490.58
201,504.01,510.49,499.73,505.74,48818,977.6,24667270.2,10.76,1.73,505.29
202,517.52,525,508.48,516.57,48112,939.4,24776012.8,16.52,-0.95,514.97
203,490.8,497.93,477.01,485.17,89153,1352.8,43962352.2,20.92,-5.63,493.11
204,507,520.37,500.47,513.18,97735,1790.8,49864394.8,19.9,6.18,510.2
205,514.07,530.27,503.77,517.99,280113,2707.2,144023122.6,26.5,3.92,514.16
206,561.48,572.14,551.65,563.57,105491,1741.4,59024213.2,20.49,2.09,559.52
207,574.11,581.17,565.58,574.57,73189,1234.6,42156072,15.59,0.46,575.99
208,566.01,571.48,559.34,562.79,108226,1067.6,61377593,12.14,-3.22,567.12
209,564.9,569.4,558.12,565.13,157787,975.8,88605571.6,11.28,0.23,561.55
210,579.38,587.7,573.69,580.51,116790,1568.6,67960111.2,14.01,1.13,581.9
211,608.09,620.88,603.06,611.89,2422271,2055,1489237985,17.82,3.8,614.81
212,589.43,595.74,582.2,585.94,123644,468.2,71976610.6,13.54,-3.49,582.13
213,550.29,553.84,533.38,539.18,80509,575,43142982,20.46,-11.11,535.88
214,540.7,547.99,534.65,543.53,38663,369.4,20845844.2,13.34,2.83,539.17
215,553.73,563.78,544.27,552.52,162032,408.4,89423000,19.51,-1.21,551.88
216,550.48,552.71,535.96,541.85,146031,989.8,78633194.4,16.75,-8.63,538.47
217,541.88,547.34,533.74,541.72,35171,418.4,18987793.4,13.6,-0.16,539.87
218,540.38,542.07,532.01,537.82,52923,253.2,28441887.4,10.06,-2.56,537.42
219,539.72,547.28,536.26,541.19,42197,352.6,22814054.4,11.02,1.47,540.66
220,535.21,538.81,529.86,534.69,51554,300.8,27518192,8.95,-0.52,533.77
221,540.99,546.38,534.61,541.19,38900,280.6,20969941.4,11.77,0.2,539.07
222,537.94,542.74,528.9,539.22,92154,308,49673480,13.84,1.28,539.03
223,541.22,547.24,536.9,542.47,91761,225.2,50064349.2,10.34,1.25,545.6
224,580.48,591.56,569.42,582.18,58099,623.6,33771879.2,22.14,1.7,581.28
225,592.05,597.59,588.44,594.52,393376,485.4,233888704.6,9.15,2.47,594.57
226,589.65,597.9,581.28,588.02,59117,561.8,34824904.8,16.62,-1.63,589.08
227,608.27,623.38,600.38,614.84,2980644,1292.4,1882824794,23,6.57,631.68
228,641.7,654.03,637.33,646.55,275870,942.2,177867317,16.7,4.85,644.75
229,648.02,653.04,634.14,640.86,259274,1017,166406987.8,18.9,-7.16,641.82
230,642.58,655.26,636.48,648.22,155280,765.4,103861555,18.78,5.64,668.87
231,682.06,697.05,656.63,681.47,145693,1569.6,101178012.2,40.42,-0.59,694.46
232,673.08,679.85,663.93,669.57,287916,676.6,194377645.8,15.92,-3.51,675.12
233,663.93,674.56,651.54,655.98,108005,613.2,71333135.4,23.02,-7.95,660.46
234,658.6,664.38,642.63,656.3,66840,433.8,43470052,21.75,-2.3,650.36
235,645.47,650.74,634.93,641.9,69685,548.8,44588845.8,15.81,-3.57,639.86
236,644.34,649.14,634.23,641.33,29981,384.4,19190443.8,14.91,-3.01,640.09
237,673.8,687.38,666.86,683.22,77264,748.6,52531622.2,20.52,9.42,679.9
238,710.45,721.67,695.02,709.08,84519,1140.8,60454637.2,26.65,-1.37,715.28
239,682.71,695.07,673.47,683.63,116944,1196.4,80591678.6,21.6,0.92,689.15
240,696.87,703.6,685.27,693.75,128526,1135,89660479.2,18.33,-3.12,697.61
241,680.37,686.31,669.31,678.87,66220,909,44884630.8,17,-1.5,677.81
242,650.58,659.4,636.05,650.98,104464,1032,68321018,23.35,0.4,654.01
243,631.41,638.44,619.55,625.39,94773,748.8,59818837,18.89,-6.02,631.18
244,627.54,633.89,617.05,623.67,2255244,790.2,1415360579,16.84,-3.87,627.59
245,642.48,661.18,636.71,652.85,450056,1861.2,288535949.4,24.47,10.37,641.11
246,690.1,697.86,682.48,689.09,100020,1214,69020338.6,15.38,-1.01,690.07
247,695.78,700.35,687.78,691.3,65777,693,45520173.8,12.57,-4.48,692.04
248,693.96,702.1,681.25,690.17,70611,950,49141005,20.85,-3.79,695.94
249,690.6,699,684.69,690.69,92672,609.8,64209178.6,14.31,0.0900000000000001,692.86
250,708.12,723.38,698.22,714.06,229427,1839.4,163911122.8,25.16,5.94,714.44
251,729.8,736.9,714.06,722.98,82743,1275.8,60250668.6,22.84,-6.82,728.17
252,713.53,718.41,705.62,708.85,49138,805.4,34922783.8,12.79,-4.68,710.71
253,745.94,758.29,733.12,749.01,178854,1940.6,133736878.8,25.17,3.07,747.74
254,736.66,750.72,728.13,740.18,72482,1053.4,53699716.6,22.59,3.52,740.87
255,730.2,735.16,717.47,721.43,184216,1531.2,132978517.6,17.69,-8.77,721.86
256,745.06,757.4,732.71,742.8,138013,1405,102511780.6,24.69,-2.26,742.77
257,750.41,760.61,737.97,754.52,162214,1420.4,122115692.4,22.64,4.11,752.81
258,750.99,762.58,739.42,746.46,88006,967.2,65850821.2,23.16,-4.53,748.25
259,727.85,730.03,715.65,721.14,119613,1285.6,86296684.8,14.38,-6.71,721.47
260,737.9,748.52,729.63,744.77,167271,1190.4,124642587.2,18.89,6.87,745.15
261,756.55,762.92,746.03,754.82,2485009,818.2,1873754310,16.89,-1.73,754.02
262,766.83,773.77,752.72,764.53,140151,1003.4,107221245,21.05,-2.3,765.04
263,749.11,757.48,739.45,744.86,570202,727.4,425573623.2,18.03,-4.25,746.36
264,756.02,770,748.59,761.03,110829,900,83719899.8,21.41,5.01,755.4
265,817.98,836.95,804.19,823.53,90749,1388.8,74612054.6,32.76,5.55,822.18
266,828.69,839.06,814.1,829.97,97421,1446.6,80987021.2,24.96,1.28,831.31
267,835.52,851.59,821.3,831.37,332730,1091.6,279564082.8,30.29,-4.15,840.21
268,832.52,857.48,819.64,847.8,153897,1214.6,128196551.4,37.84,15.28,833
269,874.23,887.35,856.67,868.3,449950,834.8,390924329.6,30.68,-5.93,868.82
270,852.94,862.58,828.88,847.32,91956,925,77549015.8,33.7,-5.62,843.33
271,797.25,803.49,740.61,782.07,124724,1975.6,95901411.2,62.88,-15.18,768.91
